,Resenha,Rating,Resenha Modificada
121,"Obra prima
Confesso que demorei um tempo pra me acostumar com a escrita do Tolkien, tinha tentado ler há uns anos mas tinha achado muito demorado e chato. Agora que tentei ler de novo e parei pra realmente levar meu tempo aproveitando essa jornada, vejo essa obra prima como ela deve ser vista. A riqueza do mundo, a profundidade dos personagens, as amizades que nem sempre começam perfeitas, a descrição dos cenários, o sistema de magia, os poemas esporádicos, tudo é maravilhoso. O Tolkien se dedicou muito a esse mundo, criando línguas inteiras como a élfica e anãnica, fazendo desenhos, escrevendo poemas (que são dignos de um poeta pra valer), ele até mesmo fez uma reprodução de páginas queimadas e rasgadas pra mostrar ao leitor como ele imaginou um objeto que está em uma cena do livro. O amor do Tolkien pela Terra-média transparece aos leitores e nos leva a amar junto com ele.",5,obr prim confess demor temp pra acostum escrit tolkien tent ler um ano ach demor chat agor tent ler nov par pra real lev temp aproveit jorn vej obr prim dev vist riqu mund profund person amizad sempr começ perfeit descr cen sistem mag poem esporád tud maravilh tolkien dedic mund cri língu int élfic anãn faz desenh escrev poem dign poet pra val fez reproduç págin queim rasg pra mostr leit imagin objet cen livr am tolkien transparec leit lev am junt
122,"O início
É muito legal ler como foi formada a sociedade, como aquele grupo de completo estranhos se formou em companheirismo em busca de algo maior",5,iníci legal ler form sociedad grup complet estranh form companheir busc alg mai
123,"A jornada e o fardo do pequenino
O Senhor dos anéis é uma história cheia de mitologia, descrições e aventuras.
Frodo fora incumbido de uma tarefa considerada impossível, sua jornada começa neste livro. O anel do poder se manifesta(muitas vezes de forma sutil) e quer ser encontrado. Elfos, anões, guardiões, homens e Hobbits se alinham na missão de auxiliar Frodo a cumprir o seu destino.
??",5,jorn fard pequenin senh anel histór chei mitolog descr avent frod incumb taref consider imposs jorn começ nest livr anel pod manifest muit vez form sutil qu encontr elf anõ guard hom hobbit alinh miss auxili frod cumpr destin
124,"Clássico é classico e vice e versa ;)
Não tinha como esperar algo diferente. Este livro é um clássico e uma das melhores leituras que eu já tive o prazer de ter. Entendo que não seja um livro para todos, mas é uma leitura obrigatória para qualquer um que goste(mesmo) de ler.",4,cláss class vic vers esper alg difer livr cláss melhor leit praz ter ent livr tod leit obrigatór qualqu gost ler
125,"Finalmente
Eu sempre tive vontade de ler Senhor dos Anéis, simplesmente por adorar os filmes (Retorno do Rei é um dos meu filmes favoritos). Finalmente tive essa chance. Ler esse livro é criar amizades. Eu sempre penso na obra de Tolkien como algo que fala essencialmente de amizade.
Achei meio cansativo de ler em algumas partes, quando ainda não chegaram em Valfenda por exemplo. Mas consegue ser atraente simplesmente pelo texto gostoso de se ler, pelos personagens maravilhosamente bem construídos, pelo cenário e magia da Terra Média.",5,final sempr vontad ler senh anel simples ador film retorn rei film favorit final chanc ler livr cri amizad sempr pens obr tolkien alg fal essenc amizad ach mei cans ler algum part aind cheg valfend exempl conseg atra simples text gost ler person maravilhos bem constru cen mag terr méd
126,"Incrível
A seriedade com que Tolkien criou os seus livros é indiscutível, ler uma obra maravilhosa como essa enche meus olhos como leitora. É um livro um tanto lento, pela quantidade de detalhes, mas ao mesmo tempo, para mim empolgante.",5,incr seriedad tolkien cri livr indiscut ler obr maravilh ench olh leit livr tant lent quant detalh temp mim empolg
127,"Não me canso desse universo, é envolvente, empolgante, te faz querer pegar uma espada e sair pra caçar orcs.",5,cans dess univers envolv empolg faz quer peg esp sair pra caç orc
128,"Toda vez que resolvo ler um livro eu acabo pesquisando algo sobre ele antes e com esse não foi diferente, sempre gostei dessa temática mais voltada pro meio medieval com um universo complexo e tudo mais mas quando fui ver sobre o livro acabei vendo uma enxurrada de comentários reclamando das inúmeras descrições de lugares e a leitura ser cansativa e até parecer que você não tá saindo do lugar por esses motivos eu adiei esse livro da minha lista por um bom tempo até que ele recebeu uma edição nova e eu resolvi comprar, eu já tinha lido o Hobbit antes e não esperava que o senhor dos anéis fosse tão diferente mas eu estava enganado o universo deu uma mega expandida na transição desses dois livros.",5,tod vez resolv ler livr acab pesquis alg sobr ant difer sempr gost dess temá volt pro mei mediev univers complex tud ver sobr livr acab vend enxurr coment reclam inúm descr lug leit cans parec tá saind lug motiv adi livr list bom temp receb ediç nov resolv compr lid hobbit ant esper senh anel tão difer engan univers deu meg expand trans dess doi livr
129,"""Você pode encontrar as coisas que perdeu, mas nunca
as que abandonou...""

Ler a Sociedade do Anel sempre foi um sonho de criança, eu via aquele livro gigante na prateleira de minha tia e pensava... Quando ela vai deixar eu ler esse?

E mesmo assim, acabei nunca tendo coragem pra ler... Até agora.

O primeiro livro de O Senhor dos Anéis é a nossa introdução a todo o universo tolkiano, e coloca introdução nisso, de uma narrativa que vai desde as gramíneas brilhantes pelos fracos raios de sol até um prólogo contando toda a História dos Hobbits.

Como uma amante de fantasia eu curri cada momento da campanha deles, me sentindo em um RPG tão bem desenvolvido que você não quer sair mais daquele mundo. No entanto nem tudo são flores, e depois de um tempo a escrita se tornou cansativa e cohilei lendo algumas vezes.

Como solução eu deixo aqui o meu agradecimento ao Cana da Fantasia, que narrou a história do melhor jeito possível inclusive nas canções, o que me permitiu ter uma experiência de leitura muito mais enriquecedora.

@manime_books",5,pod encontr cois perd nunc abandon ler sociedad anel sempr sonh crianç via livr gigant pratel tia pens vai deix ler assim acab nunc tend corag pra ler agor prim livr senh anel introduç tod univers tolki coloc introduç niss narr vai desd gramíne brilh frac rai sol prólog cont tod histór hobbit am fantas curr cad moment campanh sent rpg tão bem desenvolv qu sair daquel mund entant tud fl temp escrit torn cans cohil lend algum vez soluç deix aqu agradec can fantas narr histór melhor jeit possível inclusiv cançã permit ter experi leit enriquec
130,"Início épico.
Falar da qualidade dos livros de Tolkien é chover no molhado. Apenas me incomoda o fato de não ter lido antes.",5,iníci épic fal qual livr tolkien chov molh apen incomod fat ter lid ant
131,"Me aventurei.
Acho que li esse livro na hora, e principalmente na idade errada, por isso às duas estrelas. A estória até que é interessante, mas acho que o livro está mais focado para adolescentes e jovens. E eu já passei dessa fase ha muito.",2,aventur ach li livr hor princip idad err dua estrel estóri interess ach livr foc adolesc jov pass dess fas ha
132,"A Sociedade do Anel!
Depois de se aventurar com O Hobbit, finalmente lendo essa grande saga por conta de uma Leitura Coletiva.
O autor é incrível em criar todo esse mundo complexo e completo, cheio de eras passadas, poemas, línguas, mapas etc.
Esse primeiro livro introduz a história (Livro I) e inicia as aventuras do grupo (Livro II). Tem muitas partes de andanças e discussões sobre qual caminho/atitude tomar. Tem também alguns confrontos e algumas situações chocantes (se não tivesse visto os filmes e lembrasse vagamente kkkk).
Gosto de como os livros que li de Tolkien tem um ar de estar sendo narrado por um contador de histórias, é bem gostosinho kkkk
Ao mesmo tempo o livro é extremamente detalhado, principalmente com relação a paisagem (e sempre usando leste, oeste, sul, norte o que eu, que tenho dificuldade em localização, sempre fico confusa). A existência de diversas línguas também torna um pouco confuso até se acostumar (ou ignorar como eu fiz kkkk) pois sempre que vão citar algo falam com nomes diferentes de línguas diferentes (ex: A Montanha X, que na língua dos anãos é chamada Y e os elfos chamam Z).
Uma coisa que me atrapalhou a curtir mais a leitura foram os capítulos enormes, sempre me dava aquela preguiça de pegar o livro, mas quando pegava a história me interessava e me prendia.
Acho que nem todos os personagens são bem trabalhados aqui (no sentido de ter pouco enfoque em alguns), mas me apeguei a todos da sociedade mesmo assim.
Em suma, é uma leitura pesada e cansativa, mas é interessante e gostosa. Curiosa para ver como vou me sentir em relação aos próximos livros!!!",4,sociedad anel aventur hobbit final lend grand sag cont leit cole autor incr cri tod mund complex complet chei era pass poem língu map etc prim livr introduz histór livr i inic avent grup livr ii muit part andanç discuss sobr tom algum confront algum situ choc vist film lembr vag kkkk gost livr li tolkien ar send narr cont histór bem gostos kkkk temp livr extrem detalh princip relaç pais sempr us lest oest sul nort dificuldad local sempr fic confus exist divers língu torn pouc confus acostum ignor fiz kkkk poi sempr vão cit alg fal nom difer língu difer ex montanh x língu anã cham y elf cham z cois atrapalh curt leit capítul enorm sempr dav preguiç peg livr peg histór interess prend ach tod person bem trabalh aqu sent ter pouc enfoqu algum apeg tod sociedad assim sum leit pes cans interess gost curi ver vou sent relaç próx livr
133,"the fellowship of the gays
the most difficult thing in this book is to imagine the places tolkien describes 'cause the fellowship goes basically through a lot of trees and grass",5,the fellowship of the gay the most difficult thing in thil book is to imagin the plac tolkien describ the fellowship goe basically through lot of tre and gras
134,"O Senhor dos Anéis: A Sociedade do Anel
É muito difícil encontrar palavras para descrever a qualidade desse livro. O mundo fantástico criado por J.R.R Tolkien é sem dúvida único e apaixonando. Não é a toa que milhares de pessoas dão apaixonada pelo livro. Nesse primeiro volume somos apresentados aos personagens da aventura, bem como suas histórias de vida e o que os levaram até aquele encontro. Vale a pena cada palavra linda. Ansiosa pelo segundo!",5,senh anel sociedad anel difícil encontr palavr descrev qual dess livr mund fant cri tolkien dúv únic apaixon toa milh pesso dão apaixon livr ness prim volum apresent person avent bem histór vid lev encontr val pen cad palavr lind ansi segund
135,"Leitura densa (linguagem rebuscada) e arrastada até o segundo livro, a riqueza dos detalhes nos aproxima dos personagens, nos lugares e da história. Ansiosa pra dá continuidade.",5,leit dens lingu rebusc arrast segund livr riqu detalh aprox person lug histór ansi pra dá continu
136,"Incrível
A narrativa dessa obra é simplesmente sensacional, um ambiente rico em detalhes como também personagens com perfis próprios, incrível!",0,incr narr dess obr simples sensac ambi ric detalh person perfil própri incr
137,"O Senhor dos Anéis - A Sociedade do Anel
Da mesma forma que O Hobbit, estou totalmente encantada com A Sociedade do Anel.

É, de fato, uma leitura densa, mas estou tão empolgada com a história e com determinados personagens (não é com você, Boromir) que não estou lendo - estou devorando.

E sim, Boromir consegue ser mais insuportável no livro.",5,senh anel sociedad anel mesm form hobbit total encant sociedad anel fat leit dens tão empolg histór determin person borom lend devor sim borom conseg insuport livr
138,"Gostei bastante
Apesar dos 8 meses que demorei para finalizar a leitura, me surpreendi com o quanto aprendi a gostar dela.
Vou admitir que não foi fácil em certos momentos: a escrita é descritiva demais, cansativa, e não aborda tão bem os pontos de vistas dos personagens.
Certamente é um acréscimo para quem curte os filmes, inclusive, recomendo lê-lo somente após assistir. Assim fica mais fácil de visualizar as paisagens e tudo o mais.",4,gost bast apes mes demor final leit surpreend quant aprend gost vou admit fácil cert moment escrit descri demal cans abord tão bem pont vist person cert acrésc curt film inclusiv recom soment após assist assim fic fácil visual pais tud
139,"Tolkien me surpreendeu
Senhor dos Anéis sempre foi minha trilogia de filmes favorita, assisti muitas vezes entre minha infância e adolescência. E decidi dar uma oportunidade para os livros e que surpresa agradável, pensei que ia pegar um livro massante, com a estória arrastada e super demorada, porém achei a escrita de Tolkien bem fluida e agradável.
Me senti mais por dentro da estória, conhecer os seres inventados, e que loucura um cara criar um idioma élfico, magnífico.
Passei a entender muito mais o contexto e como os laços de amizades foram construídos.",5,tolkien surpreend senh anel sempr trilog film favorit assist muit vez infânc adolesc decid dar oportun livr surpr agrad pens ia peg livr mass estóri arrast sup demor porém ach escrit tolkien bem flu agrad sent dentr estóri conhec ser invent louc car cri idiom élfic magníf pass entend context laç amizad constru
140,"Muito intenso
Coisa mais linda, força, coragem, lealdade...
A amizade de Sam para com Frodo???",5,intens cois lind forç corag lealdad amizad sam frod
141,"eu marquei tanto esse livro
os detalhes do universo criado por tolkien continuam me surpreendendo a cada página. os mapas me ajudaram muito durante a leitura. os personagens são sensacionais, amo todos. os capítulos são bem redondinhos, cada capítulo marca um trecho da história é tudo bem dividido. a edição da Harper Collins tá PERFEITA ??",5,marq tant livr detalh univers cri tolkien continu surpreend cad págin map ajud dur leit person sensac amo tod capítul bem redond cad capítul marc trech histór tud bem divid ediç harp collim tá perfeit
142,"Muito bom
Sempre quis ler esse livro, mas sempre deixava para depois.

Quando eu descobri um grupo de leitura coletiva, resolvi tentar.

E acabei gostando bastante...

Apesar que no começo achei a historia bastante lenta.

Já quero ler os outros.",5,bom sempr quil ler livr sempr deix descobr grup leit cole resolv tent acab gost bast apes começ ach hist bast lent quer ler outr
143,"Citações favoritas
Não conheço a metade de vocês a metade do que gostaria; e gosto de menos da metade de vocês a metade do que merecem. - Bilbo (Pág. 75)

Tudo o que temos que decidir é o que fazer com o tempo que nos é dado. - Gandalf (Pág. 104)

Muitos que vivem merecem a morte. E alguns que morrem merecem a vida. Você pode dá-la a eles? Então não seja ávido demais por conferir a morte em julgamento. Pois nem mesmo os muitos sábios conseguem ver todos os fins. - Gandalf (Pág. 115)

Por trás disso havia outra coisa em ação, além de qualquer intenção do artífice do Anel. Não posso expressá-lo mais simplesmente senão dizendo que Bilbo estava destinado a encontrar o Anel, e não por seu artífice. E nesse caso também você estava destinado a tê-lo. E esse pode ser um pensamento encorajador. - Gandalf (Pág. 110)

Pode ter certeza de que não foi por algum mérito que outros não possuam: não por poder nem sabedoria, seja como for. Mas você foi escolhido, e, portanto, precisa usar força, a coragem e a inteligência que possui. - Gandalf (Pág. 117)

Atalhos fazem grandes atrasos - Pippin (Pág. 151)

Mas cautela é uma coisa e titubear é outra. - Aragorn (Pág. 252)

Pois nada é mau no começo. - Elrond (Pág. 383)

Desespero é somente para aqueles que veem o fim além de qualquer dúvida. - Gandalf (Pág. 384)

É sabedoria reconhecer a necessidade quando todas as outras rotas foram sopesadas, por muito que parece loucura àqueles que se apegam à falsa esperança. - Gandalf (Pág. 384)

Infiel é aquele que diz adeus quando a estrada escurece. - Gimli (Pág. 399)

Mas não desprezes o saber que foi transmitido de anos distantes; pois com frequência pode ocorrer que anciãs guardem na memória o conhecimento de coisas outra necessárias ao saber dos sábios - Celeborn (Pág. 527)",5,cit favorit conheç metad metad gost gost menos metad metad merec bilb pág tud decid faz temp dad gandalf pág muit viv merec mort algum morr merec vid pod ent ávid demal confer mort julg poi muit sábi conseg ver tod fim gandalf pág trá diss hav outr cois açã além qualqu intenç artíf anel poss simples senã diz bilb destin encontr anel artíf ness cas destin pod pens encoraj gandalf pág pod ter cert algum mérit outr possu pod sabed escolh portant precis us forç corag intelig possu gandalf pág atalh faz grand atras pippin pág cautel cois titub outr aragorn pág poi nad mau começ elrond pág desesper soment ve fim além qualqu dúv gandalf pág sabed reconhec necess tod outr rot sopes parec louc àquel apeg fals esperanç gandalf pág infiel diz adeu estr escurec giml pág desprez sab transmit ano dist poi frequ pod ocorr anciã guard memór conhec cois outr necessár sab sábi celeborn pág
144,"A sociedade do anel
História incrível
Universo incrível
Personagens legais
Algumas partes foram um pouco lentas e achei que falta sentimento",4,sociedad anel histór incr univers incr person legal algum part pouc lent ach falt sent
145,"Alta fantasia
Depois de assistir aos filmes, quis devorar os livros na mesma noite, infelizmente não pude pois não os tinha kkkkk Comprei e finalmente iniciei minha leitura.

Essa edição traz detalhes incríveis para os fãs, li o prefácio mas admito que pulei algumas partes por achar um pouco repetitivas, mas para quem já acompanha há muito tempo as obras, vale a pena demais.

Tolkien é considerado um gênio e não é à toa, ele desenvolveu um universo que era um tanto underground e criou várias características próprias de sua visão, assim, o livro é composto por inúmeros detalhes (principalmente de ambientação) que fazem com que os leitores se sintam transportados para a terra média. Porém, apesar de todo esse cuidado, achei que a tradução usou de palavras um pouco rebuscadas para tanto, o que tornou a leitura um pouco cansativa quanto a essas passagens, e eu admito que tiveram vezes que usei da lembrança das imagens do filme para conseguir visualizar o local. Apesar disso, esse é o único ponto ""chato"".

Os diálogos são perfeitos, e era o que eu mais ansiava enquanto lia, e como já falei, a descrição da ambientação em demasia chegava a cansar, mas é uma visão minha como leitora.

O desenvolvimento dos personagens, a relação entre eles, as características de raças, e tudo o mais, fizeram da leitura algo prazeroso. Adoro os diálogos e já me identifico com os Hobbits, apesar de sonhar com os elfos kkkkkk.

No que concerne aos personagens, eu adorei como Boromir é um tanto diferente do filme (acho ele insuportável no filme), Frodo e Sam são incríveis, Aragorn é um sonho, legolas e gimly são muito ricos e característico, mas gimly não é apenas o alívio cômico ( como no filme), Gandalf é o personagem mais foda da fantasia, e merry e Pippin são leais e tagarelas.

Por fim, gostei bastante da leitura, apesar do ponto fraco que coloquei acima, o que as vezes tornou um pouco lento o meu ritmo. Não gostei do fato dos capítulos serem muito longos, mas isso é coisa minha mesmo kkkkk. Enfim, é isso, recomendo pois é cima obra que jamais envelhece e só melhora com o tempo e espero que o segundo seja até mais prazeroso.",4,alt fantas assist film quil devor livr mesm noit infeliz pud poi kkkkk compr final inici leit ediç traz detalh incr fã li prefáci admit pul algum part ach pouc repeti acompanh temp obr val pen demal tolkien consider gêni toa desenvolv univers tant underground cri vár caracterís própr vis assim livr compost inúmer detalh princip ambient faz leit sint transport terr méd porém apes tod cuid ach traduç usou palavr pouc rebusc tant torn leit pouc cans quant pass admit vez use lembranç imag film consegu visual local apes diss únic pont chat diálog perfeit ansi enquant lia fal descr ambient demas cheg cans vis leit desenvolv person relaç caracterís raç tud fiz leit alg prazer ador diálog identif hobbit apes sonh elf kkkkkk concern person ador borom tant difer film ach insuport film frod sam incr aragorn sonh legol gimly ric caracterís gimly apen alívi cômic film gandalf person fod fantas merry pippin leal tagarel fim gost bast leit apes pont frac coloq acim vez torn pouc lent ritm gost fat capítul ser long cois kkkkk enfim recom poi cim obr jamal envelhec melhor temp esper segund prazer
146,"Fantástico
A construção da história é genial e fantástico, as descrições das paisagens são lindas e você se sente como os personagens, fascinado. Porém, em alguns momentos foi cansativo e a leitura ficou um pouco arrastada.",4,fant construç histór gen fant descr pais lind sent person fascin porém algum moment cans leit fic pouc arrast
147,"Maravilhoso
O início como toda saga, é difícil de entender os personagens, os seus feitos, sua história, seu passado. Quando começa a entender o que está acontecendo o livro te leva para dentro e é sensacional! Alerto que os detalhes são muito maiores do que o filme, isso pode decepcionar um pouco, mas o filme auxilia na imaginação dos personagens!",5,maravilh iníci tod sag difícil entend person feit histór pass começ entend acontec livr lev dentr sensac alert detalh mai film pod decepc pouc film auxil imagin person
148,"Senhor dos Anéis - A Sociedade do Anel
A leitura foi muito agradável, imersiva e completa. Muitos dizem que as intermináveis descrições do Tolkien sobre a Terra-Média torna a leitura arrastada em alguns momentos, isso não me incomodou. Na verdade, achei fascinante o modo como ele imaginou todo esse mundo nos mínimos detalhes e quis passar tudo isso para os leitores. Lia cerca de 100 páginas por dia com exímia facilidade e estou fascinado por esta obra e por tudo que o cerca. Um ponto que não gosto muito é como o Frodo é muito parado, não faz nada! Mas creio que ele irá melhorar na jornada dele, tomando suas próprias atitudes e sendo mais protagonista. Personagens como Samwise Gangi e Tom Bombadil roubaram a cena... Já comecei a segunda parte, Duas Torres, e estou gostando ainda mais!",5,senh anel sociedad anel leit agrad imers complet muit diz intermin descr tolkien sobr torn leit arrast algum moment incomod verdad ach fascin mod imagin tod mund mín detalh quil pass tud leit lia cerc págin dia exím facil fascin obr tud cerc pont gost frod par faz nad crei irá melhor jorn tom própr atitud send protagon person samwis gang tom bombadil roub cen comec segund part dua torr gost aind
149,"A Estrada em frente vai seguindo
Deixando a porta onde começa.
Agora longe já vai indo,
Devo seguir, nada me impeça;
Por seus percalços vão meus pés,
Até a junção com a grande estrada,
De muitas sendas através.
Que vem depois? Não sei mais nada..",4,estr frent vai segu deix port ond começ agor long vai ind dev segu nad impeç percalç vão pé junç grand estr muit send através vem sei nad
150,"Que releitura!!!
Eu sempre tive certo preconceito com releituras, afinal, eu podia ler um livro inédito. Este me chamou como o Um Anel chama os que estão em sua volta. Comecei a reler em doses homeopáticas, mas o fui tão envolvida pela narrativa que terminei em poucos dias. Dessa vez, captei coisas que passaram batido durante a primeira leitura e me vi pesquisando a geografia da Terra Média, foi incrível pegar as nuances do mundo de Tolkien. Sem dúvida eu moraria em Valfenda e gostaria de ser amiga de Samwise Gamgi. Gandalf permanece como um dos meus personagens favoritos, e o capítulo ?O Conselho de Elrond? me deixou deleitada em aprender sobre a história dessa Terra, da primeira vez fiquei entediada.
?O mundo está deveras repleto de perigos e há nele muitos lugares escuros; mas ainda existe muita coisa que é bela, e, por muito que em todas as terras do amor já esteja mesclado ao pesar, talvez ele se torne maior?. (p. 494)",5,releit sempr cert preconceit releit afinal pod ler livr inédit cham anel cham volt comec rel dos homeopá tão envolv narr termin pouc dia dess vez capt cois pass bat dur prim leit vi pesquis geograf terr méd incr peg nuanc mund tolkien dúv mor valfend gost amig samwis gamg gandalf permanec person favorit capítul conselh elrond deix deleit aprend sobr histór dess terr prim vez fiq entedi mund dev replet perig nel muit lug escur aind exist muit cois bel tod terr am mescl pes talv torn mai
151,"Como é de se esperar, o livro é fantástico! A leitura pode ser um pouco lenta, dependendo do que o leitor é acostumado a ler, mas a genialidade e a construção da história são de tirar o fôlego.",5,esper livr fant leit pod pouc lent depend leit acostum ler genial construç histór tir fôleg
152,"Aventura de Frodo
Foi muito bom voltar para esse universo do Tolkien. Eu já havia lido O Hobbit um tempo atrás. Pode ser uma leitura cansativa, há bastante descrições, bastante nomes de seres e de lugares, mas fui lendo devagar, apressiando cada capítulo.
Acho muito interessante como cada personagem é desenvolvido, conseguimos nos afeiçoar com uns, entretanto, há outros que passam tão rápido que mal lembro o nome. Mas isso deve ser normal, a não ser que a pessoa leia este livro várias vezes, é difícil de lembrar dos nomes.",5,avent frod bom volt univers tolkien hav lid hobbit temp atrás pod leit cans bast descr bast nom ser lug lend devag apressi cad capítul ach interess cad person desenvolv consegu afeiço um entretant outr pass tão rápid mal lembr nom dev norm pesso lei livr vár vez difícil lembr nom
153,"Releitura concluída depois de uma ressaca literária e atribulações no meio do caminho, continua sendo 5 estrelas, mas o aproveitamento não foi tão bom.",5,releit conclu ressac literár atribul mei caminh continu send estrel aproveit tão bom
154,"Clássico das fantasias!
Para mais resenhas siga @avidapelaspaginas no instagram!

O Senhor dos Anéis é um clássico inestimável da fantasia, escrito pelo autor britânico J. R. R. Tolkien no século XX. Tão famosos quanto os livros estão às adaptações cinematográficas, sendo o primeiro filme lançado em 2001 e premiado com mais de um Oscar.
Tolkien tem uma escrita única, extremamente descritiva, de forma que ao ler A Sociedade do Anel me encontrei completamente envolvida em todo o cenário da Terra Média. As longas e infindáveis descrições podem sim tornar a leitura um pouco cansativa, entretanto ao nos acostumarmos com a escrita do autor logo embarcamos em suas fantasias e a leitura passa a fluir muito bem.
Eu particularmente não recomento a leitura do Senhor dos Anéis para um primeiro contato com o gênero fantasia, acho que os livros tendem a agradar muito mais as pessoas já completamente apaixonadas pelo gênero como eu!
O primeiro livro da trilogia, A sociedade do Anel é dividido em duas partes chamadas de Livro I e Livro II, a primeira parte é principalmente uma grande contextualização sobre os personagens e o cenário, apesar de ser bem menos dinâmica que a segunda parte, ainda sim é imprescindível a construção da estória. Nela acompanharemos toda a jornada de Frodo desde sua saída do Condado até sua chegada em Valfenda, e essa parte é muito mais extensa e contem muito mais detalhes do que mostrado no filme.
Já na segunda parte, Livro II, conhecemos os outros personagens que constituirão a comitiva da sociedade do anel e logo embarcamos com eles em suas jornadas para manter o anel longe das mãos de Sauron. Diverti-me bastante na segunda parte do livro e fiquei surpresa que os inúmeros spoilers que já havia recebido sobre a estória não tornaram minha experiência de leitura nem um pouco menos empolgante.
Ao final do primeiro livro, estava completamente apegada tanto a narrativa quanto aos personagens, e mal posso esperar pelo mês que vem onde começaremos a leitura de As Duas Torres na LC.
Comparando o filme a adaptação cinematográfica, a meu ver os diretores e roteiristas fizeram um trabalho incrível! Claro que nem todos os elementos são iguais, mas eles se mantiveram fiéis em todas as cenas importantes e cuidaram de detalhes que servem exclusivamente para agradar as pessoas que já conhecem a obra literária.",5,cláss fantas resenh sig avidapelaspagin instagr senh anel cláss inestim fantas escrit autor britân tolkien sécul xx tão fam quant livr adapt cinematográf send prim film lanç premi osc tolkien escrit únic extrem descri form ler sociedad anel encontr complet envolv tod cen terr méd long infind descr pod sim torn leit pouc cans entretant acostum escrit autor log embarc fantas leit pass flu bem particul recoment leit senh anel prim contat gêner fantas ach livr tend agrad pesso complet apaixon gêner prim livr trilog sociedad anel divid dua part cham livr i livr ii prim part princip grand contextu sobr person cen apes bem menos dinâm segund part aind sim imprescind construç estóri nel acompanh tod jorn frod desd saíd cond cheg valfend part extens cont detalh mostr film segund part livr ii conhec outr person constitu comi sociedad anel log embarc jorn mant anel long mão sauron bast segund part livr fiq surpr inúmer spoil hav receb sobr estóri torn experi leit pouc menos empolg final prim livr complet apeg tant narr quant person mal poss esper mê vem ond começ leit dua torr lc compar film adapt cinematográf ver dire roteir fiz trabalh incr clar tod element igual mantiv fiel tod cen import cuid detalh serv exclusiv agrad pesso conhec obr literár
155,"A verdade é que eu acredito que não exista palavras para descrever O Senhor dos Anéis, somente quando se lê que se consegue sentir toda a magia do livro.",5,verdad acredit exist palavr descrev senh anel soment lê conseg sent tod mag livr
156,"ansiosa pra ler o segundo volume
não imaginei que fosse gostar tanto! o livro é fantástico e cheio de personagens apaixonantes. demorei um pouco pra pegar o ritmo, mas assim que me habituei a escrita, a leitura fluiu muito bem.",5,ansi pra ler segund volum imagin gost tant livr fant chei person apaixon demor pouc pra peg ritm assim habit escrit leit flu bem
157,"Indescritível...
Senhor dos Anéis (e o legendário Tolkiniano no geral) é a harmonia perfeita entre uma aventura empolgante, com personagens arquetípicos mitológicos, e um universo detalhado e belíssimo, tornando-o real para quem o lê. As passagens mais monótonas e acidentais são as que tornam esse mundo tão vivo e realista, mesmo sendo extremamente fantástico. Faltam-me palavras para elogiar essa obra, apenas desejo as duas sequências e todos os livros do legendário. Leia, se possível, pois é, sem dúvida, um clássico moderno!
P.S.: Belíssima edição, tanto em design quanto adaptação e tradução! Parabéns para os envolvidos.",5,indescrit senh anel legend tolkini geral harmon perfeit avent empolg person arquetíp mitológ univers detalh bel real lê pass monóton acident torn mund tão viv real send extrem fant palavr elogi obr apen desej dua sequ tod livr legend lei possível poi dúv cláss modern bel ediç tant design quant adapt traduç parabém envolv
158,"Dispensa comentários.
Uma aventura sem igual pela terra média, já amava os filmes com os livros não podeia ser diferente.",4,dispens coment avent igual terr méd am film livr pode difer
159,"Bem bacana mas difícil também
Olha não vou mentir, a leitura é um pouco pesada (bastante descritiva), mas os personagens são muito cativantes e o livro traz um sentimento de aventura e camaradagem, que me fizeram querer ler mais e mais e mais esta bela obra.",4,bem bacan difícil olh vou ment leit pouc pes bast descri person cativ livr traz sent avent camarad fiz quer ler bel obr
160,"Um mundo fantástico, uma história sem igual
Eu admito, tive que quebrar meu pensamento sobre ""O senhor dos anéis"", antes eu achava que era uma história que não valia a pena, que era sem graça, e não era divertido. Porém, quebrei minha cara lindamente, a história de Frodo, Sam e os outros é divertida demais, apesar a linguagem usada se torna meio cansativa(Isso é no meu caso tá, galera?), mas a descrição do mundo, os elementos que os compõe é muito maneiro, sabe aquela sensação que vc ta lendo e vc ta imaginando cada detalhe? Era exatamente essa experiência que eu tinha. Eu demorei pra terminar de ler, mas vale muito a pena essa história, recomendo.

Ps: Saruuman era meu preferido, mas depois voltou a ser Gandalf, hahahha.

Boa leitura, galera!",5,mund fant histór igual admit quebr pens sobr senh anel ant ach histór val pen graç divert porém quebr car lind histór frod sam outr divert demal apes lingu us torn mei cans cas tá gal descr mund element compõ man sab sens vc ta lend vc ta imagin cad detalh exat experi demor pra termin ler val pen histór recom ps saruuman prefer volt gandalf hahahh boa leit gal
161,"Incrível
Ao contrário do que sempre ouvi falar, as descrições das paisagens não é nada chato. É uma aventura contemplativa.",4,incr contr sempr ouv fal descr pais nad chat avent contempl
162,"Um livro que a todos rege!
Só queria dizer que Lothlórien é o lugar mais bonito que nunca existiu.",5,livr tod reg quer diz lothlórien lug bonit nunc exist
